email,nome,cognome,azienda
redazione@ttgitalia.com,,,TTG Italia
redazioneroma@travelquotidiano.com,,,Travel Quotidiano (Roma)
redazionemilano@travelquotidiano.com,,,Travel Quotidiano (Milano)
redazione@inoutreview.it,,,InOut Review
redazione@lagenziadiviaggimag.it,,,L'Agenzia di Viaggi Magazine
hotel.domani@tecnichenuove.com,,,Hotel Domani
redazione@ilviaggiomagazine.it,,,Il Viaggio Magazine
redazione@hotelandtravel.it,,,Hotel and Travel Magazine
redazione@jobintourismeditore.it,,,Job in Tourism
redazione@jobmeeting.it,,,Job Meeting
redazione@travelnostop.com,,,Travelnostop
guidaviaggi@givisrl.com,,,Guida Viaggi
albergo@edihouse.it,,,L'Albergo Magazine
redazione@startupnewsitalia.it,,,StartUp News Italia
redazione@economygroup.it,,,Economy Magazine
redazione-forbes@forbes.it,,,Forbes Italia
redazione@startupbusiness.it,,,Startupbusiness
redazione@economyup.it,,,EconomyUp
redazione@toscanaeconomy.it,,,Toscana Economy
redazione@millionaire.it,,,Millionaire
redazione@ilsole24ore.com,,,Il Sole 24 Ore
letterealsole@ilsole24ore.com,,,Il Sole 24 Ore (Lettere)
lettere@corriere.it,,,Corriere della Sera
larepubblica@repubblica.it,,,La Repubblica
ansa.firenze@ansa.it,,,ANSA Toscana
segreteria.redazione@agi.it,,,AGI
redazione.firenze@agi.it,,,AGI Firenze
segreteria.redazione@adnkronos.com,,,Adnkronos
redazione@gonews.it,,,gonews.it
firenze@iltirreno.it,,,Il Tirreno (Firenze)
nove@nove.firenze.it,,,Nove da Firenze
segreteria.redazione.firenze@monrif.net,,,La Nazione (Firenze)
cronaca.firenze@lanazione.net,,,La Nazione - Cronaca Firenze
